step,action,position_state,balance,equity,drawdown_pct
452,SELL,-1,13370.209999999941,13372.55999999994,0.0
453,BUY,1,13377.34999999994,13377.299999999941,0.0
454,BUY,1,13377.34999999994,13377.12999999994,0.0013
455,BUY,1,13377.34999999994,13384.58999999994,0.0
457,BUY,1,13377.34999999994,13390.84999999994,0.0
458,SELL,-1,13397.15999999994,13397.109999999939,0.0
459,CLOSE,0,13397.97999999994,13397.97999999994,0.0
460,BUY,1,13397.97999999994,13397.929999999938,0.0004
461,SELL,-1,13396.91999999994,13396.86999999994,0.0083
464,SELL,-1,13396.91999999994,13408.979999999941,0.0
467,SELL,-1,13396.91999999994,13423.319999999942,0.0
468,BUY,1,13417.479999999941,13417.429999999942,0.0439
469,BUY,1,13417.479999999941,13421.919999999942,0.0104
470,BUY,1,13417.479999999941,13568.109999999942,0.0
471,BUY,1,13417.479999999941,13579.789999999943,0.0
473,SELL,-1,13601.019999999942,13600.969999999943,0.0
474,BUY,1,13616.179999999942,13616.129999999943,0.0
475,BUY,1,13616.179999999942,13623.879999999943,0.0
476,SELL,-1,13631.469999999943,13631.419999999944,0.0
477,BUY,1,13649.169999999944,13649.119999999944,0.0
478,SELL,-1,13655.489999999943,13655.439999999944,0.0
479,CLOSE,0,13644.069999999943,13644.069999999943,0.0833
480,CLOSE,0,13644.069999999943,13644.069999999943,0.0833
481,SELL,-1,13644.069999999943,13644.019999999942,0.0836
482,CLOSE,0,13654.429999999942,13654.429999999942,0.0074
483,SELL,-1,13654.429999999942,13654.379999999943,0.0078
484,BUY,1,13654.519999999942,13654.469999999943,0.0071
485,BUY,1,13654.519999999942,13658.419999999942,0.0
486,BUY,1,13654.519999999942,13650.879999999943,0.0552
488,BUY,1,13654.519999999942,13669.969999999943,0.0
489,SELL,-1,13666.569999999942,13666.519999999942,0.0252
490,SELL,-1,13666.569999999942,13661.00999999994,0.0655
491,BUY,1,13817.049999999941,13816.999999999942,0.0
492,BUY,1,13817.049999999941,13827.39999999994,0.0
493,BUY,1,13817.049999999941,13824.53999999994,0.0207
494,BUY,1,13817.049999999941,13834.85999999994,0.0
495,CLOSE,0,13857.26999999994,13857.26999999994,0.0
496,CLOSE,0,13857.26999999994,13857.26999999994,0.0
497,CLOSE,0,13857.26999999994,13857.26999999994,0.0
499,SELL,-1,13857.26999999994,13857.21999999994,0.0004
500,SELL,-1,13857.26999999994,13863.97999999994,0.0
502,BUY,1,13877.50999999994,13877.459999999941,0.0
505,SELL,-1,13878.11999999994,13878.069999999942,0.0177
506,CLOSE,0,13877.75999999994,13877.75999999994,0.0199
507,SELL,-1,13877.75999999994,13877.709999999941,0.0202
509,BUY,1,13878.43999999994,13878.389999999941,0.0426
510,BUY,1,13878.43999999994,13874.55999999994,0.0702
511,BUY,1,13878.43999999994,13881.549999999941,0.0199
512,BUY,1,13878.43999999994,13914.96999999994,0.0
513,CLOSE,0,13911.299999999941,13911.299999999941,0.0264
515,SELL,-1,13911.299999999941,13911.249999999942,0.0267
516,CLOSE,0,13925.32999999994,13925.32999999994,0.0
517,CLOSE,0,13925.32999999994,13925.32999999994,0.0
518,BUY,1,13925.32999999994,13925.27999999994,0.0004
519,CLOSE,0,13945.65999999994,13945.65999999994,0.0
520,BUY,1,13945.65999999994,13945.609999999939,0.0004
522,BUY,1,13945.65999999994,13948.949999999939,0.0
524,BUY,1,13945.65999999994,13957.16999999994,0.0
526,CLOSE,0,13959.22999999994,13959.22999999994,0.0
531,SELL,-1,13959.22999999994,13959.179999999938,0.0004
532,BUY,1,13959.39999999994,13959.34999999994,0.0
533,BUY,1,13959.39999999994,13917.02999999994,0.3032
534,BUY,1,13959.39999999994,13910.79999999994,0.3478
536,SELL,-1,13923.31999999994,13923.269999999939,0.2585
537,SELL,-1,13923.31999999994,13925.08999999994,0.2454
538,BUY,1,13937.13999999994,13937.089999999938,0.1595
541,BUY,1,13937.13999999994,13961.019999999939,0.0
542,CLOSE,0,13975.979999999938,13975.979999999938,0.0
543,SELL,-1,13975.979999999938,13975.929999999938,0.0004
544,BUY,1,13976.099999999937,13976.049999999937,0.0
546,SELL,-1,13979.779999999937,13979.729999999938,0.0
547,BUY,1,13999.199999999935,13999.149999999936,0.0
548,BUY,1,13999.199999999935,14002.939999999935,0.0
549,SELL,-1,14008.979999999934,14008.929999999935,0.0
550,SELL,-1,14008.979999999934,14017.799999999934,0.0
551,SELL,-1,14008.979999999934,14023.649999999934,0.0
552,BUY,1,14033.879999999934,14033.829999999933,0.0
553,BUY,1,14033.879999999934,14017.459999999934,0.1166
554,BUY,1,14033.879999999934,14208.249999999935,0.0
555,SELL,-1,14218.129999999932,14218.079999999933,0.0
556,SELL,-1,14218.129999999932,14218.72999999993,0.0
557,SELL,-1,14218.129999999932,14234.439999999931,0.0
558,BUY,1,14241.919999999931,14241.86999999993,0.0
559,SELL,-1,14247.62999999993,14247.579999999929,0.0
560,BUY,1,14256.86999999993,14256.81999999993,0.0
561,CLOSE,0,14261.26999999993,14261.26999999993,0.0
562,SELL,-1,14261.26999999993,14261.219999999928,0.0004
564,BUY,1,14283.149999999929,14283.09999999993,0.0
565,BUY,1,14283.149999999929,14283.34999999993,0.0
567,CLOSE,0,14288.00999999993,14288.00999999993,0.0158
568,BUY,1,14288.00999999993,14287.95999999993,0.0162
569,CLOSE,0,14288.77999999993,14288.77999999993,0.0104
571,CLOSE,0,14288.77999999993,14288.77999999993,0.0104
572,SELL,-1,14288.77999999993,14288.72999999993,0.0108
573,BUY,1,14297.77999999993,14297.72999999993,0.0
574,CLOSE,0,14302.43999999993,14302.43999999993,0.0
575,BUY,1,14302.43999999993,14302.38999999993,0.0003
576,CLOSE,0,14301.319999999929,14301.319999999929,0.0078
577,CLOSE,0,14301.319999999929,14301.319999999929,0.0078
